Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/1/2023 1:00,2023,1,1,1,297.6,348,Hazardous,340,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 2:00,2023,1,1,2,254.8,305,Hazardous,212,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 3:00,2023,1,1,3,217.7,268,Very Unhealthy,179,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 4:00,2023,1,1,4,199.9,250,Very Unhealthy,180,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 5:00,2023,1,1,5,173.7,224,Very Unhealthy,149,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 6:00,2023,1,1,6,139.8,195,Unhealthy,106,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 7:00,2023,1,1,7,113.9,181,Unhealthy,88,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 8:00,2023,1,1,8,101.9,175,Unhealthy,90,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 9:00,2023,1,1,9,109.9,179,Unhealthy,118,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 10:00,2023,1,1,10,117.4,183,Unhealthy,125,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 11:00,2023,1,1,11,141.2,195,Unhealthy,165,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 12:00,2023,1,1,12,140.5,195,Unhealthy,140,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 13:00,2023,1,1,13,137.2,193,Unhealthy,134,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2023 14:00,2023,1,1,14,128.1,188,Unhealthy,119,UG/M3,1 Hr,Valid
