"date","aqi","category","aqi_category"
2016-03-01,243,"Very Unhealthy","Very Unhealthy"
2016-03-02,235,"Unhealthy","Very Unhealthy"
2016-03-03,243,"Unhealthy","Very Unhealthy"
2016-03-04,171,"Unhealthy","Unhealthy"
2016-03-05,191,"Unhealthy","Unhealthy"
2016-03-06,195,"Unhealthy","Unhealthy"
2016-03-07,172,"Unhealthy","Unhealthy"
2016-03-08,185,"Unhealthy","Unhealthy"
2016-03-09,177,"Unhealthy","Unhealthy"
2016-03-10,181,"Unhealthy","Unhealthy"
2016-03-11,174,"Unhealthy","Unhealthy"
2016-03-12,178,"Unhealthy","Unhealthy"
2016-03-13,171,"Unhealthy","Unhealthy"
2016-03-14,178,"Unhealthy","Unhealthy"
2016-03-15,194,"Unhealthy","Unhealthy"
2016-03-16,205,"Unhealthy","Very Unhealthy"
2016-03-17,194,"Unhealthy","Unhealthy"
2016-03-18,194,"Unhealthy","Unhealthy"
2016-03-19,156,"Unhealthy","Unhealthy"
2016-03-20,168,"Unhealthy","Unhealthy"
2016-03-21,158,"Unhealthy","Unhealthy"
2016-03-22,159,"Unhealthy","Unhealthy"
2016-03-23,164,"Unhealthy","Unhealthy"
2016-03-24,180,"Unhealthy","Unhealthy"
2016-03-25,192,"Unhealthy","Unhealthy"
2016-03-26,235,"Unhealthy","Very Unhealthy"
2016-03-27,163,"Unhealthy","Unhealthy"
2016-03-28,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-03-29,150,"Unhealthy","Unhealthy for Sensitive Groups"
2016-03-30,159,"Unhealthy","Unhealthy"
2016-03-31,148,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-01,130,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-02,150,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-03,146,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-04,122,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-05,122,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-06,147,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-07,146,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-08,147,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-09,137,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-10,138,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-11,139,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-12,149,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-13,151,"Unhealthy","Unhealthy"
2016-04-14,119,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-15,131,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-16,118,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-17,115,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-18,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-19,116,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-20,132,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-21,113,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-22,131,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-23,124,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-24,130,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-25,121,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-26,116,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-27,116,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-28,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-04-29,139,"Unhealthy","Unhealthy for Sensitive Groups"
2016-04-30,130,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-01,127,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-02,130,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-03,140,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-04,115,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-05,150,"Unhealthy","Unhealthy for Sensitive Groups"
2016-05-06,151,"Unhealthy","Unhealthy"
2016-05-07,139,"Unhealthy","Unhealthy for Sensitive Groups"
2016-05-08,126,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-09,165,"Unhealthy","Unhealthy"
2016-05-10,167,"Unhealthy","Unhealthy"
2016-05-11,160,"Unhealthy","Unhealthy"
2016-05-12,149,"Unhealthy","Unhealthy for Sensitive Groups"
2016-05-13,105,"Moderate","Unhealthy for Sensitive Groups"
2016-05-14,120,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-15,111,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-16,96,"Moderate","Moderate"
2016-05-17,80,"Moderate","Moderate"
2016-05-18,92,"Moderate","Moderate"
2016-05-19,84,"Moderate","Moderate"
2016-05-20,72,"Moderate","Moderate"
2016-05-21,56,"Good","Moderate"
2016-05-22,136,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-23,118,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-24,137,"Unhealthy","Unhealthy for Sensitive Groups"
2016-05-25,134,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-26,143,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-27,138,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-05-28,113,"Moderate","Unhealthy for Sensitive Groups"
2016-05-29,128,"Unhealthy","Unhealthy for Sensitive Groups"
2016-05-30,150,"Unhealthy","Unhealthy for Sensitive Groups"
2016-05-31,146,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-01,144,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-02,156,"Unhealthy","Unhealthy"
2016-06-03,131,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-04,122,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-05,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-06,119,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-07,130,"Unhealthy","Unhealthy for Sensitive Groups"
2016-06-08,92,"Moderate","Moderate"
2016-06-09,86,"Moderate","Moderate"
2016-06-10,93,"Moderate","Moderate"
2016-06-11,142,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-12,118,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-13,119,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-14,132,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-15,125,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-16,137,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-17,102,"Moderate","Unhealthy for Sensitive Groups"
2016-06-18,89,"Moderate","Moderate"
2016-06-19,103,"Moderate","Unhealthy for Sensitive Groups"
2016-06-20,73,"Moderate","Moderate"
2016-06-21,74,"Moderate","Moderate"
2016-06-22,73,"Moderate","Moderate"
2016-06-23,89,"Moderate","Moderate"
2016-06-24,78,"Moderate","Moderate"
2016-06-25,93,"Moderate","Moderate"
2016-06-26,123,"Unhealthy for Sensitive Groups","Unhealthy for Sensitive Groups"
2016-06-27,77,"Moderate","Moderate"
2016-06-28,73,"Moderate","Moderate"
2016-06-29,97,"Moderate","Moderate"
2016-06-30,96,"Moderate","Moderate"
2016-07-01,81,"Moderate","Moderate"
2016-07-02,71,"Moderate","Moderate"
2016-07-03,79,"Moderate","Moderate"
